Proceso,Procedimiento,Tarea,Objetivo (por que se hace),Estado,Responsable actual,Frecuencia,Tiempo estimado (min),Volumen mensual,Horas-persona/mes,Motivo si falta,Prioridad,Observaciones
Stock,Recepcion y Control de Stock Entrante,Control de stock recibido,A completar,Se hace,AB,Semanal,90,4.33,No calcular aun,,,Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Recepcion y Control de Stock Entrante,Sellado y etiquetado de stock recibido,A completar,Se hace,AB,Semanal,90,4.33,No calcular aun,,,Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Recepcion y Control de Stock Entrante,Almacenamiento de stock recibido,A completar,Se hace,AB,Semanal,90,4.33,No calcular aun,,,Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Gestion de Insumos,Conteo de insumos (limpieza),A completar,Se hace,AB,Mensual,10,1,No calcular aun,,,Dia/momento: Ultimo miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Gestion de Insumos,Solicitud de insumos (limpieza),A completar,Se hace,AB,Mensual,A confirmar,1,A confirmar,,,Dia/momento: Ultimo miercoles. Nombre parcialmente ilegible en el PDF - confirmar
Stock,Gestion de Insumos,Conteo de insumos (cocina),A completar,Se hace,AB,Mensual,10,1,No calcular aun,,,Dia/momento: Ultimo miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Gestion de Insumos,Compra de insumos (cocina),A completar,Se hace,AB,Mensual,A confirmar,1,A confirmar,,,Dia/momento: Ultimo miercoles. Nombre parcialmente ilegible en el PDF - confirmar
Stock,Gestion de Insumos,Conteo de insumos (libreria),A completar,Se hace,AB,Mensual,10,1,No calcular aun,,,Dia/momento: Ultimo miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Gestion de Insumos,Solicitud de insumos (libreria),A completar,Se hace,AB,Mensual,20,1,No calcular aun,,,Dia/momento: Ultimo miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Gestion de Insumos,Conteo de insumos (botiquin),A completar,Se hace,AB,Mensual,10,1,No calcular aun,,,Dia/momento: Ultimo miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Gestion de Insumos,Solicitud de insumos (botiquin),A completar,Se hace,AB,Mensual,20,1,No calcular aun,,,Dia/momento: Ultimo miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Gestion de Insumos,Cargar facturas de insumos,A completar,Se hace,AB,Semanal,30,4.33,No calcular aun,,,Dia/momento: Jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Impresion de Documentacion,Impresion de Remito (egreso de equipos),A completar,Se hace,AB,Mensual (ideal: bimestral/trimestral),60,1,No calcular aun,,Media,"Dia/momento: Ultimo miercoles. JL: hoy marcada mensual pero la idea es que sea bimensual/trimestral, imprimiendo de mas para no repetir seguido. Antes en 'Administracion General (AB)' como 'Control e impresion de R.E.E.'. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM"
Stock,Impresion de Documentacion,Impresion de Entrega de Instalacion,A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Tarea nueva mencionada por JL (18/08/2026), sin tiempo/frecuencia cargada",Media,Probablemente compartida con RM (ver Impresion de O.D.S. en la lista de RM)
Stock,Impresion de Documentacion,Impresion de Directivas Tecnicas,A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Tarea nueva mencionada por JL (18/08/2026), sin tiempo/frecuencia cargada",Media,Probablemente relacionada con 'Carga de Directivas tecnicas' de RM
Stock,Impresion de Documentacion,Impresion de Relevamientos,A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Tarea nueva mencionada por JL (18/08/2026), sin tiempo/frecuencia cargada",Media,
Stock,Impresion de Documentacion,Impresion de Guias de Usuario,A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Tarea nueva mencionada por JL (18/08/2026), sin tiempo/frecuencia cargada",Media,
Stock,Impresion de Documentacion,Impresion de Ordenes de Servicio,A completar,Se hace,RM,Mensual,45,1,No calcular aun,,,Dia/momento: Primer jueves. Ya existia como 'Control/Imprimir O.D.S.' en la lista de RM - se agrupa aca dentro de Stock > Impresion de Documentacion. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Control de Flota / Vehiculos,Control ITV vehiculo OYS427,A completar,Se hace,AB,Semestral,120,0.17,No calcular aun,,,Dia/momento: Nov/May. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Control de Flota / Vehiculos,Control impuestos vehiculo OYS427,A completar,Se hace,AB,Semestral,120,0.17,No calcular aun,,,Dia/momento: Nov/May. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Control de Flota / Vehiculos,Control ITV vehiculo AE533YE,A completar,Se hace,AB,Semestral,120,0.17,No calcular aun,,,Dia/momento: Nov/May. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Control de Flota / Vehiculos,Control impuestos vehiculo AE533YE,A completar,Se hace,AB,Semestral,120,0.17,No calcular aun,,,Dia/momento: Nov/May. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Control de Flota / Vehiculos,Control de deudas (por vehiculo),A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Tarea nueva identificada por JL (18/08/2026), sin tiempo/frecuencia cargada",Alta,Falta definir para cuales vehiculos y con que frecuencia
Stock,Control de Flota / Vehiculos,Control de multas (por vehiculo),A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Tarea nueva identificada por JL (18/08/2026), sin tiempo/frecuencia cargada",Alta,Falta definir para cuales vehiculos y con que frecuencia
Stock,Control de Flota / Vehiculos,GAP: 2 vehiculos sin control asignado,"Cubrir el control de toda la flota, no solo una parte",Debería hacerse (falta),Sin asignar,N/A,N/A,N/A,N/A,"Empresa tiene 6 vehiculos en total (3 de los duenos + 3 de la empresa); hoy solo 4 estan controlados (2 por AB, 2 por RM)",Alta,JL (18/08/2026): 'las que tenemos que ver realmente son seis'
Stock,Puesta en Valor de Equipos (nombre tentativo),Recuperacion de equipos CP4000,Recuperar equipos usados / configurar equipos nuevos,Se hace,AB,A confirmar,A confirmar,A confirmar,,,,"JL (18/08/2026): no sabia bien donde etiquetarla, la puso como nuevo procedimiento tentativo dentro de Stock"
Stock,Puesta en Valor de Equipos (nombre tentativo),Recuperacion de equipos AXpro,Recuperar equipos usados / configurar equipos nuevos,Se hace,AB,A confirmar,A confirmar,A confirmar,,,,JL (18/08/2026): idem anterior
Stock,Control de Stock - Sede NCS,Reposicion de Stock NCS,A completar,Se hace,AB,Semanal,60,4.33,No calcular aun,,,"Dia/momento: Jueves. Dia real relevado es jueves, no viernes - confirmar. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM"
Stock,Control de Stock - Sede NCS,Control de Stock NCS (sistema XBIS),A completar,Se hace,AB,Semanal,A confirmar,4.33,A confirmar,,,"Dia/momento: Miercoles. Antes era 1 sola tarea 'Control stock NCS y conteo (Ezviz/Easy)'; JL aclaro que son 2 sistemas distintos (XBIS y EZLink) - se separa en 2 tareas, falta tiempo de cada una"
Stock,Control de Stock - Sede NCS,Control de Stock NCS (sistema EZLink),A completar,Se hace,AB,Semanal,A confirmar,4.33,A confirmar,,,Dia/momento: Miercoles. Ver nota en la fila de XBIS
Stock,Control de Receptoras,Control de buen estado receptoras IPR512 (R-04),Corroborar que las receptoras funcionen correctamente,Se hace,AB,Diario,10,22,No calcular aun,,,Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Control de Receptoras,Mandar mensajes a AVATEC 01,Corroborar que los dispositivos AVATEC del datacenter funcionen correctamente,Se hace,AB,Diario,10,22,No calcular aun,,,Reubicada desde 'Administracion General (AB)'. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Stock,Control de Receptoras,GAP: protocolo cuando una receptora no funciona,"Definir que hacer ante una falla, no solo detectarla",Debería hacerse (falta),Sin asignar,N/A,N/A,N/A,N/A,No existe procedimiento definido para el caso de falla,Alta,JL (18/08/2026): 'habria que hacer un proceso de saber que hacer cuando no funcionan correctamente'
Stock,Control de Carteleria,Control de carteleria,Saber si hay stock de carteles para el mes y hacer la solicitud,Se hace,AB,Mensual,5,1,No calcular aun,,,"Dia/momento: Primer dia. Reubicada desde 'Administracion General (AB)'; ubicacion dentro de Stock es tentativa, JL no la asigno explicitamente. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM"
